#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 6674, 4,N8MDC,    -0.30, 3,   boost,   -1.47,  86442.00, 1319.86,   -1.04,    9.36, 39.6, 4.07, 4.06, 4.06,   9.65,   0.40,   0.57,   0.09,   0.03,   0.11,  -0.28,   0.26,  -0.05,   3.86, 4.06, 4.05, 0.00, 0.01, 0.00, 1, 1, 12,  32.9394449,-106.9114618,  1391.0, 2022,  6, 23, 17, 32, 14,        0,        0,   0,   0,   1.2,   0.8,   0.9,  0, 33,  0,  0, 27, 21,  0,  0,  0,  0, 30, 35,  0,  0,  0,  0, 22,  0, 33, 29,  0,  0,  0, 32,  0,  0,  0,  0, 25,  0,  0,  0
6, 6674, 4,N8MDC,    -0.29, 3,   boost,   -0.00,  86418.00, 1322.13,    1.23,    9.56, 39.6, 4.07, 4.06, 4.06,   9.65,   0.40,   0.57,   0.09,   0.03,   0.11,  -0.28,   0.26,  -0.05,   3.86, 4.06, 4.05, 0.00, 0.01, 0.00, 1, 1, 12,  32.9394449,-106.9114618,  1391.0, 2022,  6, 23, 17, 32, 14,        0,        0,   0,   0,   1.2,   0.8,   0.9,  0, 33,  0,  0, 27, 21,  0,  0,  0,  0, 30, 35,  0,  0,  0,  0, 22,  0, 33, 29,  0,  0,  0, 32,  0,  0,  0,  0, 25,  0,  0,  0
6, 6674, 4,N8MDC,    -0.28, 3,   boost,   -1.47,  86434.00, 1320.61,   -0.28,    9.75, 39.6, 4.07, 4.06, 4.06,   9.68,   0.41,   0.54,  -0.03,  -0.03,  -0.07,  -0.27,   0.27,  -0.01,   3.86, 4.06, 4.05, 0.00, 0.01, 0.00, 1, 1, 12,  32.9394449,-106.9114618,  1391.0, 2022,  6, 23, 17, 32, 14,        0,        0,   0,   0,   1.2,   0.8,   0.9,  0, 33,  0,  0, 27, 21,  0,  0,  0,  0, 30, 35,  0,  0,  0,  0, 22,  0, 33, 29,  0,  0,  0, 32,  0,  0,  0,  0, 25,  0,  0,  0
6, 6674, 4,N8MDC,    -0.27, 3,   boost,    0.98,  86431.00, 1320.90,    0.00,    9.96, 39.6, 4.07, 4.06, 4.06,   9.68,   0.41,   0.54,  -0.03,  -0.03,  -0.07,  -0.27,   0.27,  -0.01,   3.86, 4.06, 4.05, 0.00, 0.01, 0.00, 1, 1, 12,  32.9394449,-106.9114618,  1391.0, 2022,  6, 23, 17, 32, 14,        0,        0,   0,   0,   1.2,   0.8,   0.9,  0, 33,  0,  0, 27, 21,  0,  0,  0,  0, 30, 35,  0,  0,  0,  0, 22,  0, 33, 29,  0,  0,  0, 32,  0,  0,  0,  0, 25,  0,  0,  0
6, 6674, 4,N8MDC,    -0.26, 3,   boost,   -2.94,  86420.00, 1321.94,    1.04,   10.16, 39.6, 4.07, 4.06, 4.06,   9.64,   0.43,   0.45,   0.03,  -0.03,   0.05,  -0.26,   0.26,  -0.02,   3.86, 4.06, 4.05, 0.00, 0.01, 0.00, 1, 1, 12,  32.9394449,-106.9114618,  1391.0, 2022,  6, 23, 17, 32, 14,        0,        0,   0,   0,   1.2,   0.8,   0.9,  0, 33,  0,  0, 27, 21,  0,  0,  0,  0, 30, 35,  0,  0,  0,  0, 22,  0, 33, 29,  0,  0,  0, 32,  0,  0,  0,  0, 25,  0,  0,  0
6, 6674, 4,N8MDC,    -0.25, 3,   boost,    0.49,  86436.00, 1320.42,   -0.47,   10.37, 39.6, 4.07, 4.06, 4.06,   9.65,   0.37,   0.59,  -0.03,  -0.10,  -0.07,  -0.29,   0.27,  -0.05,   3.86, 4.06, 4.05, 0.00, 0.01, 0.00, 1, 1, 12,  32.9394449,-106.9114618,  1391.0, 2022,  6, 23, 17, 32, 14,        0,        0,   0,   0,   1.2,   0.8,   0.9,  0, 33,  0,  0, 27, 21,  0,  0,  0,  0, 30, 35,  0,  0,  0,  0, 22,  0, 33, 29,  0,  0,  0, 32,  0,  0,  0,  0, 25,  0,  0,  0
6, 6674, 4,N8MDC,    -0.24, 3,   boost,    1.96,  86429.00, 1321.09,    0.19,   10.58, 39.6, 4.07, 4.06, 4.06,   9.65,   0.37,   0.59,  -0.03,  -0.10,  -0.07,  -0.29,   0.27,  -0.05,   3.86, 4.06, 4.05, 0.00, 0.01, 0.00, 1, 1, 12,  32.9394449,-106.9114618,  1391.0, 2022,  6, 23, 17, 32, 14,        0,        0,   0,   0,   1.2,   0.8,   0.9,  0, 33,  0,  0, 27, 21,  0,  0,  0,  0, 30, 35,  0,  0,  0,  0, 22,  0, 33, 29,  0,  0,  0, 32,  0,  0,  0,  0, 25,  0,  0,  0
6, 6674, 4,N8MDC,    -0.23, 3,   boost,    0.98,  86426.00, 1321.37,    0.47,   10.79, 39.6, 4.07, 4.06, 4.06,   9.67,   0.36,   0.52,  -0.03,   0.03,   0.05,  -0.27,   0.28,  -0.04,   3.86, 4.06, 4.05, 0.00, 0.01, 0.00, 1, 1, 12,  32.9394449,-106.9114618,  1391.0, 2022,  6, 23, 17, 32, 14,        0,        0,   0,   0,   1.2,   0.8,   0.9,  0, 33,  0,  0, 27, 21,  0,  0,  0,  0, 30, 35,  0,  0,  0,  0, 22,  0, 33, 29,  0,  0,  0, 32,  0,  0,  0,  0, 25,  0,  0,  0
6, 6674, 4,N8MDC,    -0.22, 3,   boost,   -3.92,  86439.00, 1320.14,   -0.76,   11.01, 39.6, 4.07, 4.06, 4.06,   9.75,   0.37,   0.64,   0.16,  -0.03,   0.05,  -0.28,   0.28,  -0.06,   3.86, 4.06, 4.05, 0.00, 0.01, 0.00, 1, 1, 12,  32.9394449,-106.9114618,  1391.0, 2022,  6, 23, 17, 32, 14,        0,        0,   0,   0,   1.2,   0.8,   0.9,  0, 33,  0,  0, 27, 21,  0,  0,  0,  0, 30, 35,  0,  0,  0,  0, 22,  0, 33, 29,  0,  0,  0, 32,  0,  0,  0,  0, 25,  0,  0,  0
6, 6674, 4,N8MDC,    -0.21, 3,   boost,   -0.00,  86442.00, 1319.86,   -1.04,   11.23, 39.6, 4.07, 4.06, 4.06,   9.67,   0.38,   0.58,   0.22,  -0.03,  -0.13,  -0.27,   0.27,  -0.04,   3.86, 4.06, 4.05, 0.00, 0.01, 0.00, 1, 1, 12,  32.9394449,-106.9114618,  1391.0, 2022,  6, 23, 17, 32, 14,        0,        0,   0,   0,   1.2,   0.8,   0.9,  0, 33,  0,  0, 27, 21,  0,  0,  0,  0, 30, 35,  0,  0,  0,  0, 22,  0, 33, 29,  0,  0,  0, 32,  0,  0,  0,  0, 25,  0,  0,  0
