#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 11083, 2,KC3VYA,    -0.30, 3,   boost,   -2.01,  91367.00,  864.01,   -0.18,    0.00, 40.3, 4.13, 4.15, 4.13,   9.86,  -0.14,   0.65,  -0.08,   0.13,   0.16,   0.38,   0.95,  -0.06,   4.72, 4.14, 4.13, 0.00, 4.14, 0.01, 1, 1, 10,  31.0424641,-103.5226979,   894.0, 2025,  6, 11, 22, 42, 17,        0,        0, 144,   0,   1.6,   0.8,   1.4,  0,  0,  0,  0,  0,  0,  0, 16,  0, 30,  0,  0,  0,  0, 31,  0,  0, 29,  0,  0,  0,  0, 26, 29,  0,  0, 34, 29,  0,  0,  0, 38
6, 11083, 2,KC3VYA,    -0.29, 3,   boost,   -0.00,  91362.00,  864.46,    0.27,    0.00, 40.3, 4.13, 4.15, 4.13,   9.92,  -0.14,   0.78,  -0.27,  -0.36,   0.03,   0.38,   0.95,  -0.06,   4.72, 4.14, 4.13, 0.00, 4.14, 0.01, 1, 1, 10,  31.0424641,-103.5226979,   894.0, 2025,  6, 11, 22, 42, 17,        0,        0, 144,   0,   1.6,   0.8,   1.4,  0,  0,  0,  0,  0,  0,  0, 16,  0, 30,  0,  0,  0,  0, 31,  0,  0, 29,  0,  0,  0,  0, 26, 29,  0,  0, 34, 29,  0,  0,  0, 38
6, 11083, 2,KC3VYA,    -0.28, 3,   boost,    1.51,  91362.00,  864.46,    0.27,    0.00, 40.3, 4.13, 4.15, 4.13,   9.77,  -0.09,   0.69,  -0.27,   0.07,   0.10,   0.38,   0.95,  -0.06,   4.72, 4.14, 4.13, 0.00, 4.14, 0.01, 1, 1, 10,  31.0424641,-103.5226979,   894.0, 2025,  6, 11, 22, 42, 17,        0,        0, 144,   0,   1.6,   0.8,   1.4,  0,  0,  0,  0,  0,  0,  0, 16,  0, 30,  0,  0,  0,  0, 31,  0,  0, 29,  0,  0,  0,  0, 26, 29,  0,  0, 34, 29,  0,  0,  0, 38
6, 11083, 2,KC3VYA,    -0.27, 3,   boost,   -3.02,  91368.00,  863.92,   -0.27,    0.00, 40.3, 4.13, 4.15, 4.13,   9.90,  -0.14,   0.72,  -0.02,   0.00,   0.22,   0.38,   0.95,  -0.06,   4.72, 4.14, 4.13, 0.00, 4.14, 0.01, 1, 1, 10,  31.0424641,-103.5226979,   894.0, 2025,  6, 11, 22, 42, 17,        0,        0, 144,   0,   1.6,   0.8,   1.4,  0,  0,  0,  0,  0,  0,  0, 16,  0, 30,  0,  0,  0,  0, 31,  0,  0, 29,  0,  0,  0,  0, 26, 29,  0,  0, 34, 29,  0,  0,  0, 38
6, 11083, 2,KC3VYA,    -0.26, 3,   boost,    0.50,  91368.00,  863.92,   -0.27,    0.00, 40.3, 4.13, 4.15, 4.13,   9.83,  -0.17,   0.68,  -0.02,   0.13,  -0.09,   0.38,   0.95,  -0.06,   4.72, 4.14, 4.13, 0.00, 4.14, 0.01, 1, 1, 10,  31.0424641,-103.5226979,   894.0, 2025,  6, 11, 22, 42, 17,        0,        0, 144,   0,   1.6,   0.8,   1.4,  0,  0,  0,  0,  0,  0,  0, 16,  0, 30,  0,  0,  0,  0, 31,  0,  0, 29,  0,  0,  0,  0, 26, 29,  0,  0, 34, 29,  0,  0,  0, 38
6, 11083, 2,KC3VYA,    -0.25, 3,   boost,   -0.00,  91357.00,  864.91,    0.72,    0.00, 40.3, 4.13, 4.15, 4.13,   9.85,  -0.17,   0.68,  -0.27,   0.25,   0.10,   0.38,   0.95,  -0.06,   4.72, 4.14, 4.13, 0.00, 4.14, 0.01, 1, 1, 10,  31.0424641,-103.5226979,   894.0, 2025,  6, 11, 22, 42, 17,        0,        0, 144,   0,   1.6,   0.8,   1.4,  0,  0,  0,  0,  0,  0,  0, 16,  0, 30,  0,  0,  0,  0, 31,  0,  0, 29,  0,  0,  0,  0, 26, 29,  0,  0, 34, 29,  0,  0,  0, 38
6, 11083, 2,KC3VYA,    -0.24, 3,   boost,   -1.51,  91357.00,  864.91,    0.72,    0.00, 40.3, 4.13, 4.15, 4.13,   9.97,  -0.15,   0.83,   0.16,   0.25,  -0.09,   0.38,   0.95,  -0.06,   4.72, 4.14, 4.13, 0.00, 4.14, 0.01, 1, 1, 10,  31.0424641,-103.5226979,   894.0, 2025,  6, 11, 22, 42, 17,        0,        0, 144,   0,   1.6,   0.8,   1.4,  0,  0,  0,  0,  0,  0,  0, 16,  0, 30,  0,  0,  0,  0, 31,  0,  0, 29,  0,  0,  0,  0, 26, 29,  0,  0, 34, 29,  0,  0,  0, 38
6, 11083, 2,KC3VYA,    -0.23, 3,   boost,    0.50,  91361.00,  864.55,    0.36,    0.00, 40.3, 4.13, 4.15, 4.13,   9.91,  -0.14,   0.75,   0.04,  -0.06,   0.28,   0.38,   0.95,  -0.06,   4.72, 4.14, 4.13, 0.00, 4.14, 0.01, 1, 1, 10,  31.0424641,-103.5226979,   894.0, 2025,  6, 11, 22, 42, 17,        0,        0, 144,   0,   1.6,   0.8,   1.4,  0,  0,  0,  0,  0,  0,  0, 16,  0, 30,  0,  0,  0,  0, 31,  0,  0, 29,  0,  0,  0,  0, 26, 29,  0,  0, 34, 29,  0,  0,  0, 38
6, 11083, 2,KC3VYA,    -0.22, 3,   boost,   -0.50,  91361.00,  864.55,    0.36,    0.00, 40.3, 4.13, 4.15, 4.13,   9.91,  -0.14,   0.73,   0.10,  -0.06,   0.22,   0.38,   0.95,  -0.06,   4.72, 4.14, 4.13, 0.00, 4.14, 0.01, 1, 1, 10,  31.0424641,-103.5226979,   894.0, 2025,  6, 11, 22, 42, 17,        0,        0, 144,   0,   1.6,   0.8,   1.4,  0,  0,  0,  0,  0,  0,  0, 16,  0, 30,  0,  0,  0,  0, 31,  0,  0, 29,  0,  0,  0,  0, 26, 29,  0,  0, 34, 29,  0,  0,  0, 38
6, 11083, 2,KC3VYA,    -0.21, 3,   boost,    1.01,  91361.00,  864.55,    0.36,    0.00, 40.3, 4.13, 4.15, 4.13,   9.96,  -0.14,   0.80,  -0.33,   0.31,  -0.21,   0.38,   0.95,  -0.06,   4.72, 4.14, 4.13, 0.00, 4.14, 0.01, 1, 1, 10,  31.0424641,-103.5226979,   894.0, 2025,  6, 11, 22, 42, 17,        0,        0, 144,   0,   1.6,   0.8,   1.4,  0,  0,  0,  0,  0,  0,  0, 16,  0, 30,  0,  0,  0,  0, 31,  0,  0, 29,  0,  0,  0,  0, 26, 29,  0,  0, 34, 29,  0,  0,  0, 38
