time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2025-03-29 11:03:05,-99.9694,37.7628,1000.0,  -22,     ,     ,     ,   ,   ,     ,   ,    
2025-03-29 11:03:06,-99.9693,37.7630, 925.0,  660,     ,     ,     ,   ,   ,     ,   ,    
2025-03-29 11:03:07,-99.9693,37.7631, 911.0,  789, 14.1, 12.2, 12.2, 88, 88, 9.82,187, 7.2
2025-03-29 11:03:08,-99.9692,37.7632, 910.3,  795, 14.2, 12.1, 12.1, 88, 88, 9.81,195, 7.1
2025-03-29 11:03:09,-99.9692,37.7633, 909.7,  799, 14.2, 12.1, 12.1, 87, 87, 9.80,198, 7.3
2025-03-29 11:03:10,-99.9691,37.7634, 909.0,  804, 14.3, 12.1, 12.1, 87, 87, 9.81,199, 7.6
2025-03-29 11:03:11,-99.9691,37.7634, 908.4,  810, 14.3, 12.1, 12.1, 86, 86, 9.80,199, 8.1
2025-03-29 11:03:12,-99.9691,37.7635, 907.7,  818, 14.4, 12.1, 12.1, 86, 86, 9.79,199, 8.6
2025-03-29 11:03:13,-99.9691,37.7636, 907.1,  825, 14.4, 12.0, 12.0, 86, 86, 9.79,199, 9.2
2025-03-29 11:03:14,-99.9690,37.7637, 906.4,  832, 14.5, 12.0, 12.0, 85, 85, 9.78,199, 9.8
2025-03-29 11:03:15,-99.9690,37.7638, 905.8,  839, 14.5, 12.0, 12.0, 85, 85, 9.77,199,10.4
2025-03-29 11:03:16,-99.9689,37.7639, 905.1,  846, 14.6, 12.0, 12.0, 84, 84, 9.77,199,10.9
2025-03-29 11:03:17,-99.9688,37.7640, 904.5,  852, 14.6, 12.0, 12.0, 84, 84, 9.76,200,11.5
2025-03-29 11:03:18,-99.9688,37.7642, 903.8,  858, 14.7, 11.9, 11.9, 84, 84, 9.76,200,12.0
2025-03-29 11:03:19,-99.9688,37.7643, 903.2,  861, 14.8, 11.9, 11.9, 83, 83, 9.75,200,12.5
2025-03-29 11:03:20,-99.9687,37.7645, 902.5,  865, 14.8, 11.9, 11.9, 83, 83, 9.74,200,13.0
2025-03-29 11:03:21,-99.9687,37.7646, 901.9,  871, 14.9, 11.9, 11.9, 82, 82, 9.73,200,13.4
2025-03-29 11:03:22,-99.9686,37.7648, 901.2,  878, 14.9, 11.9, 11.9, 82, 82, 9.73,201,13.9
2025-03-29 11:03:23,-99.9685,37.7649, 900.6,  886, 15.0, 11.8, 11.8, 81, 81, 9.71,201,14.3
2025-03-29 11:03:24,-99.9685,37.7651, 899.9,  892, 15.0, 11.8, 11.8, 81, 81, 9.71,201,14.6
2025-03-29 11:03:25,-99.9684,37.7653, 899.3,  899, 15.1, 11.8, 11.8, 81, 81, 9.70,201,15.0
2025-03-29 11:03:26,-99.9683,37.7654, 898.6,  904, 15.1, 11.8, 11.8, 80, 80, 9.69,202,15.3
2025-03-29 11:03:27,-99.9682,37.7655, 898.0,  911, 15.2, 11.7, 11.7, 80, 80, 9.68,202,15.6
2025-03-29 11:03:28,-99.9681,37.7657, 897.3,  917, 15.2, 11.7, 11.7, 80, 80, 9.67,202,15.9
2025-03-29 11:03:29,-99.9680,37.7659, 896.6,  924, 15.2, 11.6, 11.6, 79, 79, 9.60,203,16.1
2025-03-29 11:03:30,-99.9679,37.7660, 895.8,  931, 15.3, 11.5, 11.5, 78, 78, 9.57,203,16.3
2025-03-29 11:03:31,-99.9679,37.7662, 895.2,  937, 15.6, 11.5, 11.5, 77, 77, 9.57,203,16.5
2025-03-29 11:03:32,-99.9678,37.7663, 894.6,  943, 15.6, 11.4, 11.4, 76, 76, 9.52,204,16.7
2025-03-29 11:03:33,-99.9677,37.7665, 894.1,  948, 15.6, 11.4, 11.4, 76, 76, 9.48,204,16.8
2025-03-29 11:03:34,-99.9676,37.7666, 893.6,  953, 15.6, 11.3, 11.3, 75, 75, 9.45,205,16.9
2025-03-29 11:03:35,-99.9675,37.7667, 893.0,  958, 15.6, 11.3, 11.3, 76, 76, 9.45,205,17.0
2025-03-29 11:03:36,-99.9674,37.7668, 892.5,  963, 15.5, 11.4, 11.4, 76, 76, 9.51,205,17.1
2025-03-29 11:03:37,-99.9673,37.7670, 891.9,  969, 15.5, 11.4, 11.4, 77, 77, 9.56,206,17.2
2025-03-29 11:03:38,-99.9673,37.7671, 891.2,  975, 15.4, 11.4, 11.4, 77, 77, 9.56,206,17.3
2025-03-29 11:03:39,-99.9672,37.7672, 890.6,  981, 15.4, 11.4, 11.4, 77, 77, 9.53,207,17.3
2025-03-29 11:03:40,-99.9671,37.7674, 890.0,  987, 15.4, 11.3, 11.3, 76, 76, 9.47,207,17.4
2025-03-29 11:03:41,-99.9670,37.7675, 889.4,  992, 15.5, 11.2, 11.2, 76, 76, 9.46,208,17.4
2025-03-29 11:03:42,-99.9669,37.7677, 888.9,  998, 15.5, 11.2, 11.2, 76, 76, 9.45,208,17.5
2025-03-29 11:03:43,-99.9668,37.7678, 888.3, 1003, 15.5, 11.2, 11.2, 75, 75, 9.42,209,17.5
2025-03-29 11:03:44,-99.9667,37.7679, 887.7, 1009, 15.4, 11.1, 11.1, 75, 75, 9.37,209,17.6
2025-03-29 11:03:45,-99.9666,37.7681, 887.2, 1014, 15.5, 11.0, 11.0, 75, 75, 9.35,210,17.6
2025-03-29 11:03:46,-99.9665,37.7682, 886.6, 1019, 15.5, 11.0, 11.0, 75, 75, 9.33,210,17.7
2025-03-29 11:03:47,-99.9664,37.7683, 886.1, 1024, 15.5, 10.9, 10.9, 74, 74, 9.28,211,17.7
2025-03-29 11:03:48,-99.9663,37.7685, 885.6, 1029, 15.5, 10.7, 10.7, 73, 73, 9.15,211,17.8
2025-03-29 11:03:49,-99.9663,37.7686, 885.0, 1034, 15.5, 10.4, 10.4, 71, 71, 8.96,212,17.9
2025-03-29 11:03:50,-99.9662,37.7688, 884.4, 1040, 15.9, 10.2, 10.2, 69, 69, 8.90,213,18.0
2025-03-29 11:03:51,-99.9660,37.7689, 883.8, 1046, 16.1, 10.2, 10.2, 68, 68, 8.86,213,18.0
2025-03-29 11:03:52,-99.9659,37.7691, 883.1, 1052, 16.1, 10.1, 10.1, 68, 68, 8.83,214,18.1
2025-03-29 11:03:53,-99.9657,37.7692, 882.5, 1059, 16.0, 10.1, 10.1, 68, 68, 8.84,214,18.2
2025-03-29 11:03:54,-99.9656,37.7693, 881.8, 1065, 16.0, 10.1, 10.1, 68, 68, 8.86,215,18.4
2025-03-29 11:03:55,-99.9654,37.7695, 881.1, 1072, 15.9, 10.2, 10.2, 69, 69, 8.89,216,18.5
2025-03-29 11:03:56,-99.9653,37.7696, 880.5, 1078, 15.8, 10.1, 10.1, 69, 69, 8.84,216,18.6
2025-03-29 11:03:57,-99.9652,37.7697, 879.8, 1085, 15.8, 10.0, 10.0, 68, 68, 8.80,217,18.7
2025-03-29 11:03:58,-99.9650,37.7698, 879.1, 1091, 15.9,  9.9,  9.9, 68, 68, 8.75,217,18.9
2025-03-29 11:03:59,-99.9649,37.7699, 878.6, 1097, 15.9,  9.8,  9.8, 67, 67, 8.71,218,19.0
2025-03-29 11:04:00,-99.9648,37.7701, 878.0, 1102, 15.9,  9.9,  9.9, 68, 68, 8.73,219,19.1
2025-03-29 11:04:01,-99.9647,37.7702, 877.5, 1107, 15.8,  9.9,  9.9, 68, 68, 8.76,219,19.3
2025-03-29 11:04:02,-99.9645,37.7704, 877.0, 1112, 15.7,  9.9,  9.9, 68, 68, 8.76,220,19.4
2025-03-29 11:04:03,-99.9643,37.7705, 876.4, 1118, 15.6,  9.9,  9.9, 68, 68, 8.74,220,19.6
2025-03-29 11:04:04,-99.9641,37.7706, 875.8, 1124, 15.6,  9.8,  9.8, 68, 68, 8.69,221,19.7
2025-03-29 11:04:05,-99.9639,37.7708, 875.3, 1128, 15.7,  9.6,  9.6, 67, 67, 8.62,221,19.9
2025-03-29 11:04:06,-99.9638,37.7709, 874.8, 1133, 15.7,  9.5,  9.5, 66, 66, 8.54,222,20.0
2025-03-29 11:04:07,-99.9637,37.7710, 874.4, 1137, 15.8,  9.4,  9.4, 65, 65, 8.47,223,20.2
2025-03-29 11:04:08,-99.9635,37.7711, 873.9, 1142, 15.9,  9.3,  9.3, 65, 65, 8.42,223,20.3
2025-03-29 11:04:09,-99.9634,37.7713, 873.4, 1147, 15.9,  9.2,  9.2, 65, 65, 8.39,224,20.4
2025-03-29 11:04:10,-99.9632,37.7715, 872.9, 1152, 15.8,  9.2,  9.2, 65, 65, 8.38,224,20.5
2025-03-29 11:04:11,-99.9631,37.7716, 872.4, 1157, 15.8,  9.2,  9.2, 65, 65, 8.38,225,20.7
2025-03-29 11:04:12,-99.9629,37.7718, 871.8, 1163, 15.8,  9.2,  9.2, 65, 65, 8.39,225,20.8
2025-03-29 11:04:13,-99.9626,37.7719, 871.2, 1168, 15.8,  9.1,  9.1, 65, 65, 8.37,226,20.9
2025-03-29 11:04:14,-99.9625,37.7720, 870.5, 1175, 15.7,  9.1,  9.1, 65, 65, 8.35,226,21.0
2025-03-29 11:04:15,-99.9623,37.7721, 869.9, 1181, 15.7,  9.0,  9.0, 64, 64, 8.31,227,21.1
2025-03-29 11:04:16,-99.9621,37.7722, 869.2, 1188, 15.7,  8.9,  8.9, 64, 64, 8.27,228,21.2
2025-03-29 11:04:17,-99.9620,37.7723, 868.5, 1194, 15.7,  8.8,  8.8, 63, 63, 8.19,228,21.2
2025-03-29 11:04:18,-99.9618,37.7724, 867.9, 1200, 15.7,  8.6,  8.6, 62, 62, 8.08,229,21.3
2025-03-29 11:04:19,-99.9616,37.7725, 867.3, 1206, 15.8,  8.4,  8.4, 61, 61, 7.98,229,21.3
2025-03-29 11:04:20,-99.9614,37.7727, 866.7, 1212, 15.8,  8.2,  8.2, 60, 60, 7.89,230,21.3
2025-03-29 11:04:21,-99.9612,37.7728, 866.1, 1218, 15.9,  8.1,  8.1, 60, 60, 7.83,230,21.3
2025-03-29 11:04:22,-99.9610,37.7730, 865.6, 1223, 16.0,  7.9,  7.9, 59, 59, 7.76,231,21.3
2025-03-29 11:04:23,-99.9607,37.7732, 865.0, 1229, 16.0,  7.8,  7.8, 58, 58, 7.70,231,21.3
2025-03-29 11:04:24,-99.9605,37.7733, 864.5, 1234, 16.0,  7.7,  7.7, 58, 58, 7.66,232,21.3
2025-03-29 11:04:25,-99.9603,37.7734, 864.0, 1239, 16.0,  7.6,  7.6, 58, 58, 7.62,232,21.2
2025-03-29 11:04:26,-99.9600,37.7735, 863.4, 1244, 16.0,  7.5,  7.5, 57, 57, 7.56,233,21.2
2025-03-29 11:04:27,-99.9598,37.7736, 862.9, 1250, 16.0,  7.4,  7.4, 57, 57, 7.51,234,21.1
2025-03-29 11:04:28,-99.9597,37.7737, 862.2, 1256, 16.0,  7.3,  7.3, 56, 56, 7.44,234,21.0
2025-03-29 11:04:29,-99.9595,37.7738, 861.6, 1263, 16.1,  7.0,  7.0, 55, 55, 7.33,235,20.9
2025-03-29 11:04:30,-99.9593,37.7739, 861.0, 1269, 16.1,  6.6,  6.6, 53, 53, 7.12,235,20.7
2025-03-29 11:04:31,-99.9591,37.7740, 860.4, 1275, 16.4,  6.1,  6.1, 51, 51, 6.88,236,20.6
2025-03-29 11:04:32,-99.9589,37.7741, 859.8, 1280, 16.6,  5.6,  5.6, 48, 48, 6.66,236,20.5
2025-03-29 11:04:33,-99.9587,37.7742, 859.3, 1286, 16.7,  5.1,  5.1, 46, 46, 6.42,237,20.3
2025-03-29 11:04:34,-99.9585,37.7743, 858.7, 1291, 17.0,  4.6,  4.6, 44, 44, 6.19,237,20.1
2025-03-29 11:04:35,-99.9583,37.7743, 858.2, 1296, 17.2,  4.2,  4.2, 42, 42, 6.05,238,20.0
2025-03-29 11:04:36,-99.9581,37.7744, 857.7, 1301, 17.2,  4.1,  4.1, 42, 42, 5.99,238,19.8
2025-03-29 11:04:37,-99.9579,37.7744, 857.2, 1306, 17.3,  3.9,  3.9, 41, 41, 5.92,239,19.6
2025-03-29 11:04:38,-99.9578,37.7745, 856.8, 1310, 17.3,  3.6,  3.6, 40, 40, 5.80,239,19.4
2025-03-29 11:04:39,-99.9576,37.7747, 856.4, 1314, 17.4,  3.3,  3.3, 39, 39, 5.66,239,19.2
2025-03-29 11:04:40,-99.9574,37.7748, 856.0, 1318, 17.5,  3.1,  3.1, 38, 38, 5.59,240,19.0
2025-03-29 11:04:41,-99.9572,37.7749, 855.6, 1322, 17.5,  3.1,  3.1, 38, 38, 5.58,240,18.8
2025-03-29 11:04:42,-99.9570,37.7749, 855.0, 1327, 17.5,  3.0,  3.0, 38, 38, 5.57,241,18.6
2025-03-29 11:04:43,-99.9568,37.7749, 854.5, 1333, 17.5,  2.9,  2.9, 38, 38, 5.54,241,18.5
2025-03-29 11:04:44,-99.9567,37.7750, 853.9, 1339, 17.4,  2.8,  2.8, 38, 38, 5.51,242,18.3
2025-03-29 11:04:45,-99.9565,37.7750, 853.4, 1344, 17.4,  2.7,  2.7, 37, 37, 5.46,242,18.1
2025-03-29 11:04:46,-99.9564,37.7751, 852.8, 1350, 17.4,  2.5,  2.5, 37, 37, 5.40,242,17.9
2025-03-29 11:04:47,-99.9562,37.7752, 852.2, 1356, 17.4,  2.4,  2.4, 36, 36, 5.33,243,17.8
2025-03-29 11:04:48,-99.9561,37.7753, 851.7, 1361, 17.4,  2.2,  2.2, 36, 36, 5.28,243,17.6
2025-03-29 11:04:48,-99.9560,37.7753, 851.1, 1367, 17.4,  2.1,  2.1, 36, 36, 5.24,243,17.5
2025-03-29 11:04:49,-99.9559,37.7754, 850.5, 1373, 17.4,  2.0,  2.0, 36, 36, 5.21,244,17.3
2025-03-29 11:04:50,-99.9557,37.7755, 850.0, 1378, 17.4,  1.9,  1.9, 35, 35, 5.16,244,17.3
2025-03-29 11:04:51,-99.9555,37.7755, 849.9, 1379, 17.4,  1.9,  1.9, 35, 35, 5.15,244,17.2
2025-03-29 11:04:52,-99.9553,37.7755, 849.3, 1385, 17.4,  1.7,  1.7, 35, 35, 5.09,244,17.1
2025-03-29 11:04:53,-99.9552,37.7756, 848.8, 1390, 17.4,  1.5,  1.5, 34, 34, 5.02,244,17.0
2025-03-29 11:04:54,-99.9550,37.7756, 848.3, 1395, 17.4,  1.3,  1.3, 34, 34, 4.95,245,16.9
2025-03-29 11:04:55,-99.9549,37.7757, 847.8, 1400, 17.4,  1.1,  1.1, 33, 33, 4.90,245,16.7
2025-03-29 11:04:56,-99.9547,37.7758, 847.3, 1405, 17.4,  1.1,  1.1, 33, 33, 4.88,245,16.6
2025-03-29 11:04:57,-99.9545,37.7759, 846.8, 1410, 17.4,  0.9,  0.9, 33, 33, 4.84,246,16.6
2025-03-29 11:04:58,-99.9543,37.7759, 846.4, 1415, 17.4,  0.8,  0.8, 33, 33, 4.78,246,16.5
