time,longitude,latitude,pressure_hPa,geopotential height_m,temperature_C,dew point temperature_C,ice point temperature_C,relative humidity_%,humidity wrt ice_%,mixing ratio_g/kg,wind direction_degree,wind speed_m/s
2025-06-11 11:01:50,-102.1898,31.9428, 916.4,  874, 20.8, 18.2, 18.2, 85, 85,14.51,101, 3.6
2025-06-11 11:01:51,-102.1899,31.9427, 915.8,  878, 20.8, 18.0, 18.0, 84, 84,14.35, 85, 5.9
2025-06-11 11:01:52,-102.1899,31.9427, 915.3,  883, 20.8, 17.9, 17.9, 83, 83,14.20, 85, 5.9
2025-06-11 11:01:53,-102.1900,31.9427, 914.8,  887, 20.8, 17.7, 17.7, 83, 83,14.06, 85, 5.9
2025-06-11 11:01:54,-102.1901,31.9427, 914.3,  893, 20.7, 17.5, 17.5, 82, 82,13.92, 85, 5.9
2025-06-11 11:01:55,-102.1902,31.9427, 913.6,  900, 20.7, 17.3, 17.3, 81, 81,13.71, 85, 5.9
2025-06-11 11:01:56,-102.1902,31.9427, 913.3,  903, 20.7, 17.2, 17.2, 80, 80,13.63, 85, 5.9
2025-06-11 11:01:57,-102.1903,31.9426, 912.7,  909, 20.7, 17.0, 17.0, 79, 79,13.48, 85, 5.8
2025-06-11 11:01:58,-102.1904,31.9426, 912.2,  914, 20.7, 16.9, 16.9, 79, 79,13.36, 85, 5.7
2025-06-11 11:01:59,-102.1904,31.9426, 911.6,  919, 20.7, 16.7, 16.7, 78, 78,13.25, 85, 5.6
2025-06-11 11:02:00,-102.1905,31.9426, 911.1,  924, 20.6, 16.6, 16.6, 77, 77,13.13, 86, 5.4
2025-06-11 11:02:01,-102.1906,31.9426, 910.5,  930, 20.6, 16.4, 16.4, 77, 77,13.02, 86, 5.3
2025-06-11 11:02:02,-102.1907,31.9425, 910.0,  935, 20.6, 16.3, 16.3, 76, 76,12.90, 86, 5.2
2025-06-11 11:02:03,-102.1907,31.9425, 909.4,  940, 20.6, 16.1, 16.1, 76, 76,12.78, 87, 5.0
2025-06-11 11:02:04,-102.1908,31.9425, 908.8,  945, 20.6, 16.0, 16.0, 75, 75,12.66, 87, 4.9
2025-06-11 11:02:05,-102.1908,31.9425, 908.3,  950, 20.5, 15.8, 15.8, 74, 74,12.55, 88, 4.8
2025-06-11 11:02:06,-102.1908,31.9426, 907.7,  956, 20.5, 15.7, 15.7, 74, 74,12.43, 89, 4.7
2025-06-11 11:02:07,-102.1909,31.9426, 907.2,  961, 20.5, 15.5, 15.5, 73, 73,12.32, 90, 4.7
2025-06-11 11:02:08,-102.1909,31.9426, 906.6,  967, 20.5, 15.4, 15.4, 72, 72,12.21, 92, 4.7
2025-06-11 11:02:09,-102.1909,31.9426, 906.1,  972, 20.5, 15.2, 15.2, 72, 72,12.09, 94, 4.6
2025-06-11 11:02:10,-102.1910,31.9426, 905.6,  977, 20.4, 15.1, 15.1, 71, 71,11.98, 95, 4.6
2025-06-11 11:02:11,-102.1910,31.9426, 905.0,  982, 20.4, 15.0, 15.0, 71, 71,11.90, 97, 4.5
2025-06-11 11:02:12,-102.1910,31.9427, 904.5,  987, 20.4, 14.9, 14.9, 70, 70,11.83, 99, 4.5
2025-06-11 11:02:13,-102.1911,31.9427, 904.0,  992, 20.4, 14.7, 14.7, 70, 70,11.75,100, 4.4
2025-06-11 11:02:14,-102.1911,31.9427, 903.5,  997, 20.4, 14.6, 14.6, 70, 70,11.67,102, 4.4
2025-06-11 11:02:15,-102.1911,31.9427, 902.9, 1002, 20.3, 14.5, 14.5, 69, 69,11.59,104, 4.3
2025-06-11 11:02:16,-102.1912,31.9427, 902.3, 1007, 20.3, 14.4, 14.4, 69, 69,11.52,106, 4.3
2025-06-11 11:02:17,-102.1912,31.9428, 901.8, 1012, 20.3, 14.3, 14.3, 68, 68,11.43,107, 4.2
2025-06-11 11:02:18,-102.1912,31.9428, 901.2, 1018, 20.3, 14.2, 14.2, 68, 68,11.36,109, 4.2
2025-06-11 11:02:19,-102.1913,31.9428, 900.6, 1024, 20.3, 14.1, 14.1, 68, 68,11.28,111, 4.1
2025-06-11 11:02:20,-102.1913,31.9428, 900.1, 1029, 20.2, 14.0, 14.0, 67, 67,11.20,113, 4.1
2025-06-11 11:02:21,-102.1913,31.9428, 899.5, 1035, 20.2, 13.8, 13.8, 67, 67,11.13,114, 4.1
2025-06-11 11:02:22,-102.1913,31.9429, 898.9, 1041, 20.2, 13.7, 13.7, 66, 66,11.05,116, 4.1
2025-06-11 11:02:23,-102.1914,31.9429, 898.2, 1047, 20.2, 13.6, 13.6, 66, 66,10.97,118, 4.0
2025-06-11 11:02:24,-102.1914,31.9429, 897.6, 1053, 20.1, 13.5, 13.5, 66, 66,10.92,120, 4.0
2025-06-11 11:02:25,-102.1914,31.9429, 897.0, 1058, 20.1, 13.5, 13.5, 66, 66,10.88,122, 3.9
2025-06-11 11:02:26,-102.1915,31.9429, 896.4, 1064, 20.1, 13.4, 13.4, 65, 65,10.84,124, 3.9
2025-06-11 11:02:27,-102.1915,31.9429, 895.8, 1070, 20.1, 13.3, 13.3, 65, 65,10.80,126, 3.9
2025-06-11 11:02:28,-102.1915,31.9430, 895.2, 1076, 20.0, 13.3, 13.3, 65, 65,10.76,128, 3.8
2025-06-11 11:02:29,-102.1916,31.9430, 894.7, 1081, 20.0, 13.2, 13.2, 65, 65,10.72,130, 3.8
2025-06-11 11:02:30,-102.1916,31.9430, 894.1, 1087, 20.0, 13.1, 13.1, 65, 65,10.68,133, 3.8
2025-06-11 11:02:31,-102.1916,31.9430, 893.5, 1093, 20.0, 13.1, 13.1, 64, 64,10.64,135, 3.7
2025-06-11 11:02:32,-102.1917,31.9430, 892.9, 1098, 19.9, 13.0, 13.0, 64, 64,10.60,137, 3.7
2025-06-11 11:02:33,-102.1917,31.9431, 892.3, 1104, 19.9, 12.9, 12.9, 64, 64,10.56,139, 3.6
2025-06-11 11:02:34,-102.1917,31.9431, 891.7, 1110, 19.9, 12.9, 12.9, 64, 64,10.52,142, 3.6
2025-06-11 11:02:35,-102.1918,31.9431, 891.1, 1116, 19.9, 12.8, 12.8, 64, 64,10.48,144, 3.6
2025-06-11 11:02:36,-102.1918,31.9431, 890.5, 1121, 19.9, 12.7, 12.7, 64, 64,10.44,144, 3.6
2025-06-11 11:02:37,-102.1918,31.9432, 889.9, 1127, 19.8, 12.7, 12.7, 63, 63,10.40,143, 3.6
2025-06-11 11:02:38,-102.1919,31.9432, 889.3, 1133, 19.8, 12.6, 12.6, 63, 63,10.37,143, 3.7
2025-06-11 11:02:39,-102.1919,31.9432, 888.9, 1137, 19.8, 12.6, 12.6, 63, 63,10.34,143, 3.7
2025-06-11 11:02:40,-102.1919,31.9433, 888.5, 1141, 19.7, 12.5, 12.5, 63, 63,10.31,143, 3.7
2025-06-11 11:02:41,-102.1920,31.9433, 888.0, 1145, 19.7, 12.5, 12.5, 63, 63,10.29,143, 3.7
2025-06-11 11:02:42,-102.1920,31.9433, 887.6, 1149, 19.7, 12.4, 12.4, 63, 63,10.26,142, 3.8
2025-06-11 11:02:43,-102.1920,31.9433, 887.2, 1153, 19.6, 12.4, 12.4, 63, 63,10.23,142, 3.8
2025-06-11 11:02:44,-102.1921,31.9434, 886.8, 1158, 19.6, 12.3, 12.3, 63, 63,10.20,142, 3.8
2025-06-11 11:02:45,-102.1921,31.9434, 886.2, 1163, 19.6, 12.3, 12.3, 63, 63,10.17,142, 3.9
