UTCTIME,UNIXTIME,ALT,LAT,LON,#SATS,FIX,HORZV,VERTV,HEAD,FLAGS,>40,>32,>24,RSSI,BATT,Altitude AGL,Launch detection,Apogee detection,Landing detection,Distance (feet)
Jun 17 2025 22:42:14.399 UTC,1750214534.399,2934.7,31.04254,-103.52270,27,3,0,0,173,1,1,7,14,-75,4.064,0.7,FALSE,FALSE,FALSE,0.3118
Jun 17 2025 22:42:14.499 UTC,1750214534.499,2934.7,31.04254,-103.52270,27,3,0,0,151,1,1,7,14,-75,4.064,0.7,FALSE,FALSE,FALSE,0.3118
Jun 17 2025 22:42:14.599 UTC,1750214534.599,2934.6,31.04254,-103.52270,27,3,0,0,-23,1,1,7,14,-75,4.064,0.6,FALSE,FALSE,FALSE,0.3118
Jun 17 2025 22:42:14.699 UTC,1750214534.699,2934.6,31.04254,-103.52270,27,3,0,0,177,1,1,7,14,-75,4.064,0.6,FALSE,FALSE,FALSE,0.3118
Jun 17 2025 22:42:14.799 UTC,1750214534.799,2934.6,31.04254,-103.52270,27,3,0,0,-99,1,1,7,14,-75,4.064,0.6,FALSE,FALSE,FALSE,0.3118
Jun 17 2025 22:42:14.899 UTC,1750214534.899,2934.6,31.04254,-103.52270,27,3,0,0,123,1,1,8,13,-75,4.064,0.6,FALSE,FALSE,FALSE,0.3118
Jun 17 2025 22:42:15.000 UTC,1750214535.0,2934.6,31.04254,-103.52270,27,3,0,0,24,1,1,8,13,-75,4.064,0.6,FALSE,FALSE,FALSE,0.3118
Jun 17 2025 22:42:15.199 UTC,1750214535.199,2934.6,31.04254,-103.52270,26,3,0,0,59,1,1,8,13,-75,4.064,0.6,FALSE,FALSE,FALSE,0.3118
Jun 17 2025 22:42:15.299 UTC,1750214535.299,2934.6,31.04254,-103.52270,26,3,0,0,-101,1,1,8,13,-75,4.064,0.6,FALSE,FALSE,FALSE,0.3118
Jun 17 2025 22:42:15.399 UTC,1750214535.399,2934.6,31.04254,-103.52270,27,3,0,0,92,1,1,8,13,-75,4.064,0.6,FALSE,FALSE,FALSE,0.3118
Jun 17 2025 22:42:15.499 UTC,1750214535.499,2934.6,31.04254,-103.52270,27,3,0,0,-27,1,1,8,13,-75,4.062,0.6,FALSE,FALSE,FALSE,0.3118
Jun 17 2025 22:42:15.599 UTC,1750214535.599,2934.6,31.04254,-103.52270,27,3,0,0,-118,1,1,8,13,-75,4.062,0.6,FALSE,FALSE,FALSE,0.3118
Jun 17 2025 22:42:15.699 UTC,1750214535.699,2934.6,31.04254,-103.52270,27,3,0,0,-1,1,1,8,13,-75,4.062,0.6,FALSE,FALSE,FALSE,0.3118
Jun 17 2025 22:42:15.799 UTC,1750214535.799,2934.6,31.04254,-103.52270,27,3,0,0,110,1,1,8,13,-75,4.062,0.6,FALSE,FALSE,FALSE,0.3118
Jun 17 2025 22:42:15.899 UTC,1750214535.899,2934.6,31.04254,-103.52270,27,3,0,0,-100,1,1,8,13,-75,4.062,0.6,FALSE,FALSE,FALSE,0.3118
Jun 17 2025 22:42:16.000 UTC,1750214536.0,2934.6,31.04254,-103.52270,27,3,0,0,20,1,1,8,13,-75,4.062,0.6,FALSE,FALSE,FALSE,0.3118
Jun 17 2025 22:42:16.099 UTC,1750214536.099,2934.6,31.04254,-103.52270,26,3,0,0,-168,1,1,8,13,-75,4.062,0.6,FALSE,FALSE,FALSE,0.3118
Jun 17 2025 22:42:16.199 UTC,1750214536.199,2934.5,31.04254,-103.52270,27,3,0,0,168,1,1,8,13,-75,4.062,0.5,FALSE,FALSE,FALSE,0.3118
Jun 17 2025 22:42:16.299 UTC,1750214536.299,2934.6,31.04254,-103.52270,27,3,0,0,67,1,1,8,13,-75,4.062,0.6,FALSE,FALSE,FALSE,0.3118
Jun 17 2025 22:42:16.399 UTC,1750214536.399,2934.6,31.04254,-103.52270,27,3,0,0,-170,1,1,8,13,-75,4.062,0.6,FALSE,FALSE,FALSE,0.3118
Jun 17 2025 22:42:16.499 UTC,1750214536.499,2934.5,31.04254,-103.52270,27,3,0,0,130,1,1,8,13,-75,4.062,0.5,FALSE,FALSE,FALSE,0.3118
