Rocket Name,WVU410     
Launch time UTC,Mar 22 2026 21:19:48.400 UTC
Launch time local time zone,Mar 22 2026 16:19:48
Max Altitude,8172.00 feet
Max vertical velocity,1456 ft/sec
Max horizontal velocity,202 ft/sec
Pad altitude,1259.0 ft
Pad Latitude,37.16875 deg
Pad Longtitude,-97.73390 deg
Distance at apogee,411.05 ft
Distance at landing,635.27 ft
Distance at launch,0.00 ft
Horizontal velocity at apogee,152 ft/sec
Horizontal velocity at laniding,202 ft/sec
Vertical velocity at landing,187 ft/sec
